model,split_name,p_value,relation,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,fit_time_mean_s,predict_time_mean_s,runs
tabicl,evidence,0.1,aunt,0.0852827164305747,0.03590394662426137,0.7205016550910599,0.04816699698999457,0.0,0.0,0.0,0.0,0.9819410288819977,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,brother,0.0551818142358401,0.02082513240049563,0.6550979171827525,0.052540682204321544,0.0,0.0,0.0,0.0,0.9772027298618544,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,cousin,0.6187801054442218,0.03568501658765538,0.9533619064533253,0.009640959156253398,0.2628034399813988,0.1807512368578004,0.6628865999391527,0.185598086877852,0.90740210849207,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,granddaughter,0.13589577160769792,0.09820309180875132,0.783246332943371,0.09250121674180382,0.015384615384615385,0.04865042554105199,0.03333333333333333,0.01,0.9835981128152482,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,grandfather,0.32705720248137077,0.14588943250476,0.8708182769173293,0.0879398755596594,0.016216216216216217,0.05128017827300075,0.1,0.008823529411764706,0.983708821772586,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,grandmother,0.14120347274643938,0.045689664976813656,0.8645642224511478,0.06821163729640839,0.0,0.0,0.0,0.0,0.9831656217877894,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,grandson,0.11841838543091217,0.06682865309767816,0.769701291791273,0.12583554490321047,0.0,0.0,0.0,0.0,0.9817308682085661,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,husband,0.02236031966231301,0.007627227617127236,0.4829601700398102,0.06589997141816328,0.0,0.0,0.0,0.0,0.9814537611172709,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,nephew,0.08288220742502748,0.027727147582094547,0.8178711491094404,0.04740070077987757,0.0,0.0,0.0,0.0,0.9828285831103507,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,niece,0.07664013896954636,0.02925126561633238,0.8082909250675245,0.050962226203262975,0.0,0.0,0.0,0.0,0.9838066310942816,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,overall,0.26497259519419913,0.01986370076769473,0.7956609864993942,0.012498976345996926,0.10473004226366094,0.07969774873286452,0.6596935467460996,0.05958187431457738,0.9760478388890907,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,sister,0.04910800487230849,0.014695274273695163,0.6701840809125538,0.024554619094716856,0.0,0.0,0.0,0.0,0.9771383773812696,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,uncle,0.11598595873347535,0.056846365103468834,0.7606037535559422,0.09675020963782312,0.0,0.0,0.0,0.0,0.984469823042539,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.1,wife,0.020090274388715808,0.002563006437959285,0.45099037772175476,0.037492827646298583,0.0,0.0,0.0,0.0,0.9804089965215088,0.3929112319019623,1.2225936486967839,10
tabicl,evidence,0.2,aunt,0.14936898492580544,0.03510933654886535,0.8823859860688466,0.04388939115197814,0.0,0.0,0.0,0.0,0.9821075156218614,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,brother,0.06959163138049473,0.021081645658403012,0.7312742750413339,0.0753359309517225,0.0,0.0,0.0,0.0,0.9771377485932623,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,cousin,0.6640684004177606,0.04429020087616735,0.9672500961385724,0.005947790192600806,0.46765306330061585,0.16234553646417768,0.6897183877172914,0.3798283737156972,0.9183216804902152,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,granddaughter,0.266797919040925,0.06757201469429958,0.9400356380252116,0.034905556088157444,0.030264336917562723,0.05136141195594657,0.2,0.016473485946102578,0.9827589499806516,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,grandfather,0.6532995658518803,0.10211027011655574,0.9805782664085921,0.025589233060639278,0.116637098038001,0.13134769522389048,0.7,0.06711150984927403,0.9840420150913796,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,grandmother,0.2325980361165408,0.055131957515765516,0.9503500122919881,0.036946006110210566,0.010256410256410256,0.032433617027367995,0.04,0.0058823529411764705,0.9823061387730327,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,grandson,0.2661155161516537,0.05003534678558391,0.9243284096364139,0.02973530862625002,0.01818181818181818,0.0574959574576069,0.06,0.010714285714285714,0.9831378892234571,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,husband,0.02708921704419115,0.005932424883251482,0.5342615537521732,0.050140780255268184,0.0,0.0,0.0,0.0,0.9809927212495811,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,nephew,0.10767286556294912,0.02515523319976346,0.8800469858014326,0.02078135367241994,0.0,0.0,0.0,0.0,0.9827954874927769,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,niece,0.11175218341547517,0.03754455918270259,0.8724562636657371,0.02857123735894725,0.0,0.0,0.0,0.0,0.9836285868561226,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,overall,0.34421286972228793,0.017648051434505076,0.8710881463089356,0.008967524601068507,0.2071337704929022,0.08164620629025113,0.6857628423757742,0.12511245919953887,0.9768923971749064,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,sister,0.07618464195690508,0.027800639420007735,0.7191868848512311,0.043379680868678674,0.0,0.0,0.0,0.0,0.9770786609667546,0.4088109975098632,1.4156226160936058,10
tabicl,evidence,0.2,uncle,0.1390045612239838,0.04160704706449509,0.8397310633869635,0.05511798830433654,0.0,0.0,0.0,0.0,0.9840418776260359,0.4088109975098632,1.4156226160936058,10
