model,split_name,p_value,relation,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,fit_time_mean_s,predict_time_mean_s,runs
tabicl,family,0.4,overall,0.4466884290547558,0.030923241732314435,0.8989695116627384,0.020305993784126352,0.23793084342231974,0.09735781557681038,0.17051395532949562,0.5329805624527495,0.8987201861547411,0.6696184452972375,3.190375386585947,10
tabpfn,family,0.4,overall,0.2999885150236988,0.053600426868385176,0.8417800580555935,0.016864407520955936,0.15250408629495132,0.026963030998526927,0.09240681034850762,0.48574909405051747,0.8589005235602094,1.9234532764879986,6.8357009023893625,10
tabicl,family,0.2,overall,0.3569733229332985,0.03485135059637219,0.8587975449178774,0.034846905158509384,0.25464154603338995,0.05363888375405432,0.18373294909043528,0.4498430450529865,0.9310344827586207,0.6272431209101341,3.06255293461727,10
tabpfn,family,0.2,overall,0.20384271158748643,0.06112021403978971,0.8132328517308377,0.02671646232789039,0.13241833560994742,0.028585783745016944,0.0825020169256581,0.3572735526822926,0.8815745741587037,1.8771600490203126,6.570332876197062,10
tabicl,family,0.1,overall,0.2954739614171879,0.04565697750045008,0.7965015530282391,0.02784774594102798,0.12084759643742912,0.03233639157538785,0.07244837562215713,0.4033398021626743,0.8470641701508816,0.6384819832164794,2.9971601300872863,10
tabpfn,family,0.1,overall,0.16646542484375404,0.04270364979163078,0.7457658797202387,0.024216217737499986,0.09264436332832199,0.02976310780720309,0.05410133970415627,0.3596595946767764,0.8198145791674241,1.8440795183181762,6.4758311086217875,10
tabicl,family,0.0,overall,0.04396236841510267,0.0007766352203829283,0.7010771545639537,0.005082957362213447,0.0835810153239875,0.021301997712671585,0.04613357234166789,0.4650225304673426,0.7459524963645177,0.668068456905894,2.9320932337665,10
tabpfn,family,0.0,overall,0.02127053287048001,0.0005520559918119463,0.4538645979886973,0.00852654115004346,0.062249311226110104,0.009961435122061381,0.03315892753702916,0.5290246887207553,0.604782678946518,1.7959653352154419,6.333204039093107,10
tabicl,random,0.8,overall,0.4742154522362962,0.03518841489374559,0.9482881437212345,0.006402030565855321,0.2941915247758266,0.04173970611251689,0.20082075014722472,0.5816888632922527,0.9299310651545476,0.547287396423053,2.724992702715099,10
tabpfn,random,0.8,overall,0.37015018950829603,0.041077077001836514,0.9169768973161274,0.006574839649347813,0.2005874629331915,0.026604108005569786,0.1232536765799254,0.5625948899079221,0.8890148988214366,1.7052526489831508,5.923662149393931,10
tabicl,random,0.4,overall,0.4017373630431867,0.020635968351296937,0.9143151009909346,0.010145546048805656,0.28488766581259845,0.03873796916678497,0.19894092826031903,0.5270162766838797,0.9344927278388117,0.502771569811739,1.4263985694968142,10
tabpfn,random,0.4,overall,0.33457461522473464,0.020467098370844386,0.888666514317021,0.012478044821996818,0.212407637044296,0.030008885578614888,0.1373702225658418,0.4964943773150526,0.908566472445848,0.9343257014174015,3.419168207980692,10
tabicl,random,0.2,overall,0.30797717054218887,0.021658514502304087,0.8607420836502244,0.013009243130129744,0.1988243681022971,0.044339801841358585,0.12979687548190463,0.4653265482739739,0.9030340576947516,0.4880792937008664,0.9570432245032862,10
tabpfn,random,0.2,overall,0.24465152275431654,0.03274703236103348,0.8095517596870645,0.014562574917012908,0.14154865052955368,0.02539034663580932,0.08618217357893845,0.42355905631343005,0.8705203964925659,0.5229711845284328,2.5007442538277247,10
tabicl,random,0.1,overall,0.21313410969072732,0.027289571463464495,0.7836621292839105,0.02036066600243079,0.13681570431775472,0.029896070034151102,0.08387500920761556,0.40405704661908465,0.8687154254579823,0.5033659664099105,0.7270180031075142,10
tabpfn,random,0.1,overall,0.1206695504172967,0.04765363450825841,0.6813084174992252,0.037083775702851186,0.08404637236805626,0.015000057841826004,0.04770564508944178,0.3781192384060086,0.7976760348038807,0.32251968500204387,2.1436298760119827,10
