model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,0.8,9,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3512416610028595,0.1618314019870013,0.4200913242009132,0.575,0.33093525179856115,0.492,0.556,0.32,46,34,93,77,0.5377478448590449,0.47942186791107655
tabpfn,0.4,0,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.19503662502393126,0.41638462094124407,0.4659090909090909,0.47753743760399336,0.4548335974643423,0.4736,0.5048,0.4808,287,314,344,305,0.48723482108784966,0.4675400484908689
tabicl,0.4,0,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.3509984820848331,0.2150287110125646,0.524873828406633,0.48148148148148145,0.5768621236133122,0.4728,0.5048,0.6048,364,392,267,227,0.5011600453798812,0.482563513053363
tabpfn,0.4,1,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.1899845969164744,0.4129849550081417,0.6240875912408759,0.5034347399411188,0.8208,0.5056,0.5,0.8152,513,506,112,119,0.505601788544038,0.5088256
tabicl,0.4,1,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.4027604879811406,0.18063060496933758,0.6187419768934531,0.5166130760986066,0.7712,0.5248,0.5,0.7464,482,451,143,174,0.507148870629393,0.5223667200000001
tabpfn,0.4,2,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.19878081895876676,0.41701050905976444,0.0,0.0,0.0,0.5128,0.4872,0.0,0,0,609,641,0.47032616733676336,0.4787290999029124
tabicl,0.4,2,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.3254293870413676,0.18425616901367903,0.03492063492063492,0.5238095238095238,0.0180623973727422,0.5136,0.4872,0.0168,11,10,598,631,0.47717335475646355,0.49176420258780795
tabpfn,0.4,3,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.19881519896443933,0.42476291593629867,0.0,0.0,0.0,0.4992,0.5008,0.0,0,0,626,624,0.47812277281355525,0.4595403764233637
tabicl,0.4,3,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.32845776400063187,0.1771435389528051,0.23317307692307693,0.470873786407767,0.15495207667731628,0.4896,0.5008,0.1648,97,109,529,515,0.5042733968103286,0.5018393647087737
tabpfn,0.4,4,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.1853546448983252,0.42137687106151134,0.5800130633572829,0.4852459016393443,0.7207792207792207,0.4856,0.4928,0.732,444,471,172,163,0.4759817405447492,0.47946582203285676
tabicl,0.4,4,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.33135160303208977,0.1807724239770323,0.5369318181818182,0.4772727272727273,0.6136363636363636,0.4784,0.4928,0.6336,378,414,238,220,0.48715341255051847,0.4841183067720922
tabpfn,0.4,5,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.19772366399411112,0.41791899502277374,0.0,0.0,0.0,0.4944,0.5056,0.0,0,0,632,618,0.5022202062830237,0.4891071135963295
tabicl,0.4,5,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.3245926710078493,0.17899802001193166,0.24431137724550897,0.5024630541871922,0.16139240506329114,0.4952,0.5056,0.1624,102,101,530,517,0.5041393763570887,0.4974115153004793
tabpfn,0.4,6,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.26982214697636664,0.41316790389828384,0.6486486486486487,0.48,1.0,0.48,0.48,1.0,600,650,0,0,0.47902831075705865,0.4938128205128205
tabicl,0.4,6,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.33389828202780336,0.1793804990593344,0.6354285714285715,0.4834782608695652,0.9266666666666666,0.4896,0.48,0.92,556,594,44,56,0.47418968037306847,0.4905564102564102
tabpfn,0.4,7,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.2080151119735092,0.419230337953195,0.6638161411010155,0.4968,1.0,0.4968,0.4968,1.0,621,629,0,0,0.5095882779769799,0.5087965203054716
tabicl,0.4,7,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.3273974669864401,0.17920515011064708,0.5638148667601683,0.4993788819875776,0.6473429951690821,0.5024,0.4968,0.644,402,403,219,226,0.49169427436463764,0.494920751954
tabpfn,0.4,8,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.20351664908230305,0.4132752950536087,0.0,0.0,0.0,0.48,0.52,0.0,0,0,650,600,0.5195679950056651,0.5027307692307692
tabicl,0.4,8,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.326771009946242,0.17865280399564654,0.026986506746626688,0.5294117647058824,0.013846153846153847,0.4808,0.52,0.0136,9,8,641,592,0.522742768937305,0.5076410256410256
tabpfn,0.4,9,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.18816032295580953,0.42230013699736446,0.0031545741324921135,0.5,0.0015822784810126582,0.4944,0.5056,0.0016,1,1,631,617,0.49812075707241565,0.48320685346769904
tabicl,0.4,9,symmetric,A01,1,none,symmetric,0,1000,250,1250,0.32781419809907675,0.17903529002796859,0.33776867963152507,0.4782608695652174,0.2610759493670886,0.4824,0.5056,0.276,165,180,467,438,0.5053154453701223,0.5039966613411986
