model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabpfn,0.4,5,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.1771994079463184,0.41996527602896094,0.006349206349206349,0.6666666666666666,0.003189792663476874,0.4992,0.5016,0.0024,2,1,625,622,0.48579812416896384,0.4789156240959907
tabicl,0.4,5,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3433133920188993,0.1857278640381992,0.32996632996632996,0.5568181818181818,0.23444976076555024,0.5224,0.5016,0.2112,147,117,480,506,0.5087486612254011,0.5088781709124701
tabpfn,0.4,6,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.1753905159421265,0.4262916990555823,0.2579908675799087,0.45564516129032256,0.17993630573248406,0.48,0.5024,0.1984,113,135,515,487,0.4781341166710448,0.46781749851516585
tabicl,0.4,6,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3425842949654907,0.1820877289865166,0.38953488372093026,0.4975247524752475,0.3200636942675159,0.496,0.5024,0.3232,201,203,427,419,0.5025491344697696,0.4923838245233171
tabpfn,0.4,7,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.18370548100210726,0.4258801309624687,0.48107653490328006,0.5053003533568905,0.4590690208667737,0.5064,0.4984,0.4528,286,280,337,347,0.5039428753558001,0.5197480422199521
tabicl,0.4,7,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3659106999402866,0.18264069594442844,0.5450581395348837,0.49800796812749004,0.6019261637239165,0.4992,0.4984,0.6024,375,378,248,249,0.49568617300326034,0.49493882817360046
tabpfn,0.4,8,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.18107945297379047,0.43501003296114504,0.6641711229946524,0.49759615384615385,0.9983922829581994,0.4976,0.4976,0.9984,621,627,1,1,0.4908354719741864,0.5014515534437913
tabicl,0.4,8,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.34779636503662914,0.1843709290260449,0.5623678646934461,0.5006273525721455,0.6414790996784566,0.5032,0.4976,0.6376,399,398,223,230,0.49647590024006194,0.4949144428287628
tabpfn,0.4,9,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.18419606005772948,0.4297156760003418,0.3244397011739594,0.4840764331210191,0.24398073836276082,0.4936,0.4984,0.2512,152,162,471,465,0.49579835783762133,0.5003968040632736
tabicl,0.4,9,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3406406530411914,0.18289493501652032,0.49958915365653245,0.5117845117845118,0.48796147672552165,0.5128,0.4984,0.4752,304,290,319,337,0.5319325814864639,0.5260802670619347
tabpfn,0.2,0,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.15627546492032707,0.44836979906540364,0.6564299424184261,0.48857142857142855,1.0,0.48857142857142855,0.48857142857142855,1.0,855,895,0,0,0.4874264016601036,0.4888313894606161
tabicl,0.2,0,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.34108983201440424,0.15828000602778047,0.5478481012658228,0.4830357142857143,0.632748538011696,0.4897142857142857,0.48857142857142855,0.64,541,579,314,316,0.4804003192104504,0.49166584991342416
tabpfn,0.2,1,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.1577295589959249,0.4340532380156219,0.6636120656739214,0.49657142857142855,1.0,0.49657142857142855,0.49657142857142855,1.0,869,881,0,0,0.5117631195593141,0.5136052111511529
tabicl,0.2,1,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.33329016296193004,0.1552937689702958,0.6438356164383562,0.495350278983261,0.9194476409666283,0.4948571428571429,0.49657142857142855,0.9217142857142857,799,814,70,67,0.5095790062912136,0.516480121840831
tabpfn,0.2,2,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.15806040703319013,0.4200743859400973,0.6620795107033639,0.4948571428571429,1.0,0.4948571428571429,0.4948571428571429,1.0,866,884,0,0,0.48723479415484305,0.49362479491707856
tabicl,0.2,2,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.33634077094029635,0.15586903598159552,0.6618153963998468,0.4951289398280802,0.9976905311778291,0.49542857142857144,0.4948571428571429,0.9971428571428571,864,881,2,3,0.5106853851818074,0.5149005151891988
tabpfn,0.2,3,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.15357209497597069,0.42203336802776903,0.6631016042780749,0.496,1.0,0.496,0.496,1.0,868,882,0,0,0.4872961433529615,0.48774060315370393
tabicl,0.2,3,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.3325175070203841,0.15551480802241713,0.6638591117917305,0.49713302752293576,0.9988479262672811,0.4982857142857143,0.496,0.9965714285714286,867,877,1,5,0.4776542090880814,0.47924569213245977
tabpfn,0.2,4,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.16002617997583002,0.4181526330066845,0.24398625429553264,0.4797297297297297,0.16359447004608296,0.49714285714285716,0.496,0.16914285714285715,142,154,726,728,0.49546898449123766,0.5048616989038318
tabicl,0.2,4,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.3439497509971261,0.15567634697072208,0.2944,0.4816753926701571,0.2119815668202765,0.496,0.496,0.21828571428571428,184,198,684,684,0.49228291619705566,0.5027005810004493
tabpfn,0.2,5,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.16316057601943612,0.4188206910621375,0.0,0.0,0.0,0.4942857142857143,0.504,0.0017142857142857142,0,3,882,865,0.4901760738407339,0.47950628023867004
tabicl,0.2,5,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.37786350899841636,0.1551614790223539,0.2345890410958904,0.479020979020979,0.15532879818594103,0.48914285714285716,0.504,0.16342857142857142,137,149,745,719,0.4954089009136447,0.49094342037890426
tabpfn,0.2,6,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.16672746208496392,0.4164017209550366,0.6147110332749562,0.499644128113879,0.7986348122866894,0.49714285714285716,0.5022857142857143,0.8028571428571428,702,703,177,168,0.5267756341393237,0.5067495288064795
tabicl,0.2,6,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.34395261900499463,0.15530840901192278,0.5967894239848914,0.510088781275222,0.7189988623435722,0.512,0.5022857142857143,0.708,632,607,247,264,0.4913942101086742,0.5008614057567244
tabpfn,0.2,7,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.15817294688895345,0.4161589810391888,0.5743879472693032,0.48412698412698413,0.7060185185185185,0.48342857142857143,0.4937142857142857,0.72,610,650,254,236,0.4987039945505584,0.4899811104840732
tabicl,0.2,7,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.3384810209972784,0.15569183800835162,0.5714285714285714,0.48657445077298617,0.6921296296296297,0.48742857142857143,0.4937142857142857,0.7022857142857143,598,631,266,255,0.4992977279555224,0.49774788897249395
tabpfn,0.2,8,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.15991629101336002,0.4179228530265391,0.0,0.0,0.0,0.49257142857142855,0.5074285714285715,0.0,0,0,888,862,0.5011056873352546,0.4900301258334901
tabicl,0.2,8,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.34821188205387443,0.15508076001424342,0.2871205906480722,0.5287009063444109,0.19707207207207209,0.5034285714285714,0.5074285714285715,0.18914285714285714,175,156,713,706,0.5237763076452289,0.5276273227984365
tabpfn,0.2,9,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.16235981998033822,0.41686620900873095,0.011350737797956867,0.625,0.0057273768613974796,0.5022857142857143,0.49885714285714283,0.004571428571428572,5,3,868,874,0.5011665884451078,0.4993691395612189
tabicl,0.2,9,antisymmetric,A02,1,none,antisymmetric,0,500,250,1750,0.33784028503578156,0.15540654805954546,0.33857677902621724,0.48917748917748916,0.2588774341351661,0.49542857142857144,0.49885714285714283,0.264,226,236,647,641,0.48920670541256206,0.4890951267010701
tabpfn,0.1,0,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.20317864103708416,0.42041375406552106,0.6386980108499096,0.5011350737797957,0.8803589232303091,0.5005,0.5015,0.881,883,879,120,118,0.5069765336476412,0.5024970224732023
tabicl,0.1,0,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.33097502309828997,0.1484100769739598,0.5176125244618396,0.5081652257444764,0.5274177467597209,0.507,0.5015,0.5205,529,512,474,485,0.516090101725906,0.5046020414183727
tabpfn,0.1,1,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.15122675499878824,0.4173802469158545,0.37897310513447435,0.4813664596273292,0.3125,0.492,0.496,0.322,310,334,682,674,0.4863268547853907,0.48488753280209934
tabicl,0.1,1,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.34050302393734455,0.14910738298203796,0.45589798087141337,0.4820224719101124,0.4324596774193548,0.488,0.496,0.445,429,461,563,547,0.4838241410129118,0.4874631976446493
tabpfn,0.1,2,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.4325867840088904,0.4195288580376655,0.6613119143239625,0.494,1.0,0.494,0.494,1.0,988,1012,0,0,0.49525830422833683,0.5006190891488375
tabicl,0.1,2,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.36428906593937427,0.14779330999590456,0.6060836501901141,0.4853836784409257,0.8066801619433198,0.482,0.494,0.821,797,845,191,167,0.4950735558091269,0.49752014290057767
tabpfn,0.1,3,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.15562874800525606,0.41387560102157295,0.6037435284747112,0.5003300330033004,0.7610441767068273,0.5025,0.498,0.7575,758,757,238,247,0.5060095955115912,0.5039245627930047
tabicl,0.1,3,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.3703257510205731,0.14731397188734263,0.5010162601626016,0.507201646090535,0.49497991967871485,0.509,0.498,0.486,493,479,503,525,0.5156658468794111,0.5130332085313365
tabpfn,0.1,4,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.15140780492220074,0.4123743779491633,0.01782178217821782,0.6428571428571429,0.009036144578313253,0.504,0.498,0.007,9,5,987,999,0.5017407015916477,0.5054835877374038
tabicl,0.1,4,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.3290298009524122,0.14770238008350134,0.30013831258644535,0.4822222222222222,0.2178714859437751,0.494,0.498,0.225,217,233,779,771,0.497570297580262,0.5043330693291093
tabpfn,0.1,5,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.15847224509343505,0.4119056999916211,0.6719787516600265,0.506,1.0,0.506,0.506,1.0,1012,988,0,0,0.49328682254403405,0.47747925701300986
tabicl,0.1,5,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.33062207500915974,0.14742252207361162,0.5745122457451225,0.49534717251252686,0.6837944664031621,0.4875,0.506,0.6985,692,705,320,283,0.5022590501408959,0.4831385719543614
tabpfn,0.1,6,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.1529763680882752,0.413048104965128,0.6213303604607953,0.49032258064516127,0.847870182555781,0.4905,0.493,0.8525,836,869,150,145,0.4916460259762112,0.48759306824137527
tabicl,0.1,6,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.3372477180091664,0.14753553201444447,0.5390909090909091,0.48846787479406917,0.6014198782961461,0.493,0.493,0.607,593,621,393,393,0.49523178242003596,0.4943418910106381
tabpfn,0.1,7,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.14594021695666015,0.41125946200918406,0.17313915857605178,0.45726495726495725,0.10678642714570859,0.489,0.501,0.117,107,127,895,871,0.4815887264494931,0.4851749406997628
tabicl,0.1,7,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.34685003897175193,0.14742907998152077,0.029182879377431907,0.5769230769230769,0.014970059880239521,0.501,0.501,0.013,15,11,987,987,0.5074945703397968,0.5022975091900368
tabpfn,0.1,8,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.1586056259693578,0.41141983098350465,0.0,0.0,0.0,0.495,0.505,0.0,0,0,1010,990,0.497772130336218,0.4950940094009401
tabicl,0.1,8,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.3348557570716366,0.14805700909346342,0.0,0.0,0.0,0.495,0.505,0.0,0,0,1010,990,0.5106591913677203,0.49721272127212723
tabpfn,0.1,9,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.14830032701138407,0.41248043696396053,0.11160318866253321,0.5294117647058824,0.062376237623762376,0.4985,0.505,0.0595,63,56,947,934,0.5095850436409847,0.4976302630263026
tabicl,0.1,9,antisymmetric,A02,1,none,antisymmetric,0,250,250,2000,0.3348180679604411,0.14695348299574107,0.14125753660637383,0.543046357615894,0.08118811881188119,0.5015,0.505,0.0755,82,69,928,921,0.5097031262588139,0.4835898589858986
tabpfn,0.8,0,transitive,A03,1,none,none,1,2000,250,250,0.2159378690412268,0.37816793797537684,0.7630522088353414,0.7307692307692307,0.7983193277310925,0.764,0.476,0.52,95,35,24,96,0.8623295087506879,0.8553146449419463
tabicl,0.8,0,transitive,A03,1,none,none,1,2000,250,250,0.3481316020479426,0.16084047604817897,0.7540983606557377,0.736,0.773109243697479,0.76,0.476,0.5,92,33,27,98,0.8511004610008667,0.8551542754506383
tabpfn,0.8,1,transitive,A03,1,none,none,1,2000,250,250,0.23306162795051932,0.37986433098558336,0.7339449541284404,0.7476635514018691,0.7207207207207207,0.768,0.444,0.428,80,27,31,112,0.8271277588072572,0.8355369758247456
tabicl,0.8,1,transitive,A03,1,none,none,1,2000,250,250,0.34889104997273535,0.16062078601680696,0.6787330316742082,0.6818181818181818,0.6756756756756757,0.716,0.444,0.44,75,35,36,104,0.7724909710573292,0.7843022878994101
tabpfn,0.8,2,transitive,A03,1,none,none,1,2000,250,250,0.22527170996181667,0.376306724967435,0.7791164658634538,0.776,0.782258064516129,0.78,0.496,0.5,97,28,27,98,0.8552763430670963,0.8588709677419355
tabicl,0.8,2,transitive,A03,1,none,none,1,2000,250,250,0.34437648800667375,0.16063223709352314,0.7398373983739838,0.7459016393442623,0.7338709677419355,0.744,0.496,0.488,91,31,33,95,0.8411968400915995,0.8477022529441883
tabpfn,0.8,3,transitive,A03,1,none,none,1,2000,250,250,0.2266825040569529,0.375526629970409,0.7969348659003831,0.8387096774193549,0.7591240875912408,0.788,0.548,0.496,104,20,33,93,0.9095311431978491,0.8832762741424972
tabicl,0.8,3,transitive,A03,1,none,none,1,2000,250,250,0.34148156899027526,0.16050434799399227,0.7615384615384615,0.8048780487804879,0.7226277372262774,0.752,0.548,0.492,99,24,38,89,0.8726007826354395,0.8405141786706285
tabpfn,0.8,4,transitive,A03,1,none,none,1,2000,250,250,0.2309983860468492,0.37733685097191483,0.76,0.7723577235772358,0.7480314960629921,0.76,0.508,0.492,95,28,32,95,0.865326624157206,0.8451443569553806
tabicl,0.8,4,transitive,A03,1,none,none,1,2000,250,250,0.3397172678960487,0.16067684593144804,0.696,0.7073170731707317,0.6850393700787402,0.696,0.508,0.492,87,36,40,87,0.8089324861264142,0.7977082133026054
tabpfn,0.8,5,transitive,A03,1,none,none,1,2000,250,250,0.22974998108111322,0.37852570600807667,0.774468085106383,0.7711864406779662,0.7777777777777778,0.788,0.468,0.472,91,27,26,106,0.861163631638061,0.8783497204549836
tabicl,0.8,5,transitive,A03,1,none,none,1,2000,250,250,0.34156888897996396,0.16213438101112843,0.75,0.7317073170731707,0.7692307692307693,0.76,0.468,0.492,90,33,27,100,0.8417533786799904,0.860356018250755
tabpfn,0.8,6,transitive,A03,1,none,none,1,2000,250,250,0.2331202169880271,0.3778781699948013,0.8222996515679443,0.8489208633093526,0.7972972972972973,0.796,0.592,0.556,118,21,30,81,0.9027153710355192,0.8762917329093799
tabicl,0.8,6,transitive,A03,1,none,none,1,2000,250,250,0.33007258793804795,0.17551139392890036,0.7544483985765125,0.7969924812030075,0.7162162162162162,0.724,0.592,0.532,106,27,42,75,0.8618090462487499,0.8180312665606783
tabpfn,0.8,7,transitive,A03,1,none,none,1,2000,250,250,0.2364717940799892,0.38200655195396394,0.7848101265822784,0.75,0.8230088495575221,0.796,0.452,0.496,93,31,20,106,0.8968590541133016,0.8915121762160066
tabicl,0.8,7,transitive,A03,1,none,none,1,2000,250,250,0.32377890299540013,0.16181734192650765,0.70042194092827,0.6693548387096774,0.7345132743362832,0.716,0.452,0.496,83,41,30,96,0.8116352708954968,0.8156126865189588
tabpfn,0.8,8,transitive,A03,1,none,none,1,2000,250,250,0.21798331895843148,0.3813284960342571,0.7782101167315175,0.7751937984496124,0.78125,0.772,0.512,0.516,100,29,28,93,0.8872129794945154,0.8620965676229508
tabicl,0.8,8,transitive,A03,1,none,none,1,2000,250,250,0.5082475610543042,0.16102390503510833,0.7804878048780488,0.8135593220338984,0.75,0.784,0.512,0.472,96,22,32,100,0.8748493556382817,0.8660348360655737
tabpfn,0.8,9,transitive,A03,1,none,none,1,2000,250,250,0.22667267406359315,0.38274203904438764,0.7741935483870968,0.8,0.75,0.776,0.512,0.48,96,24,32,98,0.874921354666889,0.8613921618852459
tabicl,0.8,9,transitive,A03,1,none,none,1,2000,250,250,0.34588478202931583,0.16957619995810091,0.758893280632411,0.768,0.75,0.756,0.512,0.5,96,29,32,93,0.8771861881739259,0.8609118852459017
tabpfn,0.4,0,transitive,A03,1,none,none,1,1000,250,1250,0.1827937449561432,0.4105760339880362,0.7446808510638298,0.765993265993266,0.7245222929936306,0.7504,0.5024,0.4752,455,139,173,483,0.8491493332624143,0.8413749052778177
tabicl,0.4,0,transitive,A03,1,none,none,1,1000,250,1250,0.3290417909156531,0.18009131704457104,0.686976389946687,0.6583941605839416,0.7181528662420382,0.6712,0.5024,0.548,451,234,177,388,0.7444756599112344,0.7415646056485141
tabpfn,0.4,1,transitive,A03,1,none,none,1,1000,250,1250,0.18929571902845055,0.40608250303193927,0.7369294605809129,0.75,0.7243066884176182,0.7464,0.4904,0.4736,444,148,169,489,0.8212751747057425,0.8145876495911453
tabicl,0.4,1,transitive,A03,1,none,none,1,1000,250,1250,0.3264099219813943,0.17977843701373786,0.7535545023696683,0.7304747320061256,0.7781402936378466,0.7504,0.4904,0.5224,477,176,136,461,0.821585361355804,0.8308137911959864
tabpfn,0.4,2,transitive,A03,1,none,none,1,1000,250,1250,0.17850054299924523,0.4047937380382791,0.7307692307692307,0.7354838709677419,0.7261146496815286,0.7312,0.5024,0.496,456,164,172,458,0.8362301196975384,0.8219056567063305
tabicl,0.4,2,transitive,A03,1,none,none,1,1000,250,1250,0.3764882249524817,0.17973788699600846,0.7039106145251397,0.7056,0.7022292993630573,0.7032,0.5024,0.5,441,184,187,438,0.7745883280648844,0.7788736252483258
tabpfn,0.4,3,transitive,A03,1,none,none,1,1000,250,1250,0.18551487394142896,0.40746474801562726,0.743142144638404,0.7760416666666666,0.7129186602870813,0.7528,0.5016,0.4608,447,129,180,494,0.8288101670012508,0.8309256286784377
tabicl,0.4,3,transitive,A03,1,none,none,1,1000,250,1250,0.3249147080350667,0.18041893502231687,0.72869429241595,0.7147239263803681,0.7432216905901117,0.7224,0.5016,0.5216,466,186,161,437,0.814565029791031,0.8079673135852911
tabpfn,0.4,4,transitive,A03,1,none,none,1,1000,250,1250,0.1732412950368598,0.40713372896425426,0.7304347826086957,0.6968325791855203,0.7674418604651163,0.7272,0.4816,0.5304,462,201,140,447,0.7952539549927897,0.806968028382757
tabicl,0.4,4,transitive,A03,1,none,none,1,1000,250,1250,0.3283005650155246,0.18097479199059308,0.752,0.7253086419753086,0.7807308970099668,0.752,0.4816,0.5184,470,178,132,470,0.834515866183843,0.8389960419999181
tabpfn,0.4,5,transitive,A03,1,none,none,1,1000,250,1250,0.18136276095174253,0.40913577110040933,0.7597765363128491,0.7543581616481775,0.7652733118971061,0.7592,0.4976,0.5048,476,155,146,473,0.8483277403860052,0.8397159870563418
tabicl,0.4,5,transitive,A03,1,none,none,1,1000,250,1250,0.3226865279721096,0.1803203650051728,0.734789391575663,0.7136363636363636,0.7572347266881029,0.728,0.4976,0.528,471,189,151,439,0.8176251459456139,0.8084333463042987
tabpfn,0.4,6,transitive,A03,1,none,none,1,1000,250,1250,0.16873800405301154,0.4082867429824546,0.7726907630522089,0.7647058823529411,0.7808441558441559,0.7736,0.4928,0.5032,481,148,135,486,0.8438230602436978,0.8500962759637838
tabicl,0.4,6,transitive,A03,1,none,none,1,1000,250,1250,0.3209580760449171,0.18287861393764615,0.7076923076923077,0.7059773828756059,0.7094155844155844,0.7112,0.4928,0.4952,437,182,179,452,0.7990137959182908,0.7945378753738375
tabpfn,0.4,7,transitive,A03,1,none,none,1,1000,250,1250,0.1715375219937414,0.40581884409766644,0.7578439259855189,0.7721311475409836,0.7440758293838863,0.7592,0.5064,0.488,471,139,162,478,0.8333554091934618,0.8373531919469686
tabicl,0.4,7,transitive,A03,1,none,none,1,1000,250,1250,0.3369766379473731,0.18145057104993612,0.7382657120127287,0.7435897435897436,0.7330173775671406,0.7368,0.5064,0.4992,464,160,169,457,0.821886986757359,0.8210061936547683
tabpfn,0.4,8,transitive,A03,1,none,none,1,1000,250,1250,0.17400378198362887,0.4065810909960419,0.7170731707317073,0.7147487844408428,0.7194127243066885,0.7216,0.4904,0.4936,441,176,172,461,0.8269474978809527,0.8200565456449866
tabicl,0.4,8,transitive,A03,1,none,none,1,1000,250,1250,0.3308431140612811,0.1818610579939559,0.7582329317269076,0.7468354430379747,0.7699836867862969,0.7592,0.4904,0.5056,472,160,141,477,0.8490852491458284,0.8468913980449753
tabpfn,0.4,9,transitive,A03,1,none,none,1,1000,250,1250,0.17751374805811793,0.4111345720011741,0.7367563162184189,0.7520798668885191,0.7220447284345048,0.7416,0.5008,0.4808,452,149,174,475,0.8222335799464923,0.8156219279921356
tabicl,0.4,9,transitive,A03,1,none,none,1,1000,250,1250,0.3337170409504324,0.1798503480385989,0.7794361525704809,0.8103448275862069,0.7507987220447284,0.7872,0.5008,0.464,470,110,156,514,0.8836868636255238,0.8773603260424347
tabpfn,0.2,0,transitive,A03,1,none,none,1,500,250,1750,0.16239735996350646,0.41453165805432945,0.7224255096706743,0.6606118546845124,0.7970011534025375,0.6965714285714286,0.49542857142857144,0.5977142857142858,691,355,176,528,0.7815317817443272,0.7780967160030356
tabicl,0.2,0,transitive,A03,1,none,none,1,500,250,1750,0.3331892240094021,0.15368858608417213,0.72,0.6775178026449644,0.7681660899653979,0.704,0.49542857142857144,0.5617142857142857,666,317,201,566,0.7880186156149389,0.782768453460926
tabpfn,0.2,1,transitive,A03,1,none,none,1,500,250,1750,0.16598537506069988,0.4120395879726857,0.6893143915997529,0.7469879518072289,0.6399082568807339,0.7125714285714285,0.4982857142857143,0.4268571428571429,558,189,314,689,0.8114905523811092,0.798156647718961
tabicl,0.2,1,transitive,A03,1,none,none,1,500,250,1750,0.34020618500653654,0.15350033692084253,0.7654921020656136,0.813953488372093,0.7224770642201835,0.7794285714285715,0.4982857142857143,0.4422857142857143,630,144,242,734,0.867306280222898,0.8618067020542935
tabpfn,0.2,2,transitive,A03,1,none,none,1,500,250,1750,0.16903919202741235,0.6170342919649556,0.6841463414634147,0.7276264591439688,0.6455696202531646,0.704,0.49657142857142855,0.44057142857142856,561,210,308,671,0.784912526763859,0.778829110658591
tabicl,0.2,2,transitive,A03,1,none,none,1,500,250,1750,0.336988317896612,0.1536709760548547,0.7669441141498217,0.7933579335793358,0.7422324510932106,0.776,0.49657142857142855,0.4645714285714286,645,168,224,713,0.8806806541825836,0.875303851021893
tabpfn,0.2,3,transitive,A03,1,none,none,1,500,250,1750,0.1562955640256405,0.4117424499709159,0.7247924080664294,0.7695214105793451,0.6849775784753364,0.7348571428571429,0.5097142857142857,0.45371428571428574,611,183,281,675,0.8390728903737823,0.8158952407831331
tabicl,0.2,3,transitive,A03,1,none,none,1,500,250,1750,0.3446753469761461,0.15356872603297234,0.7844776119402985,0.8390804597701149,0.7365470852017937,0.7937142857142857,0.5097142857142857,0.44742857142857145,657,126,235,732,0.8986207272175508,0.8846846352451734
tabpfn,0.2,4,transitive,A03,1,none,none,1,500,250,1750,0.16247300908435136,0.41254646505694836,0.7497360084477297,0.7029702970297029,0.8031674208144797,0.7291428571428571,0.5051428571428571,0.5771428571428572,710,300,174,566,0.8011888401067397,0.8027141483703092
tabicl,0.2,4,transitive,A03,1,none,none,1,500,250,1750,0.331674239016138,0.15389486495405436,0.6905311778290993,0.7051886792452831,0.6764705882352942,0.6937142857142857,0.5051428571428571,0.4845714285714286,598,250,286,616,0.7582080876328217,0.7612116351248263
tabpfn,0.2,5,transitive,A03,1,none,none,1,500,250,1750,0.15392596402671188,0.41018151689786464,0.7606936416184971,0.7713950762016413,0.750285062713797,0.7634285714285715,0.5011428571428571,0.48742857142857143,658,195,219,678,0.8394765887817319,0.8412295378522794
tabicl,0.2,5,transitive,A03,1,none,none,1,500,250,1750,0.35496621299535036,0.15384679508861154,0.6761525327262379,0.675,0.677309007981756,0.6748571428571428,0.5011428571428571,0.5028571428571429,594,286,283,587,0.7387163985270476,0.7504267777399
tabpfn,0.2,6,transitive,A03,1,none,none,1,500,250,1750,0.1561830339487642,0.41057657403871417,0.6790190735694823,0.6422680412371135,0.7202312138728324,0.6634285714285715,0.4942857142857143,0.5542857142857143,623,347,242,538,0.7403674331040814,0.733544952810163
tabicl,0.2,6,transitive,A03,1,none,none,1,500,250,1750,0.3610937389312312,0.15378810500260442,0.7341477603257708,0.7388758782201406,0.7294797687861272,0.7388571428571429,0.4942857142857143,0.488,631,223,234,662,0.8431731695034492,0.8282668756735574
tabpfn,0.2,7,transitive,A03,1,none,none,1,500,250,1750,0.15685879194643348,0.4108197439927608,0.7392344497607656,0.7933247753530167,0.6920492721164614,0.7508571428571429,0.5102857142857142,0.4451428571428571,618,161,275,696,0.8159553445880614,0.8170549888213918
tabicl,0.2,7,transitive,A03,1,none,none,1,500,250,1750,0.3413269300945103,0.15364666504319757,0.7508650519031141,0.7740784780023782,0.729003359462486,0.7531428571428571,0.5102857142857142,0.4805714285714286,651,190,242,667,0.8461246717641634,0.8336876601494052
tabpfn,0.2,8,transitive,A03,1,none,none,1,500,250,1750,0.1487422559875995,0.41091039206366986,0.694560669456067,0.7420178799489144,0.6528089887640449,0.708,0.5085714285714286,0.44742857142857145,581,202,309,658,0.7804909403623547,0.773766004703423
tabicl,0.2,8,transitive,A03,1,none,none,1,500,250,1750,0.34026949398685247,0.1538130349945277,0.6825484764542936,0.673224043715847,0.6921348314606741,0.6725714285714286,0.5085714285714286,0.5228571428571429,616,299,274,561,0.739320531437118,0.7401352234125946
tabpfn,0.2,9,transitive,A03,1,none,none,1,500,250,1750,0.16354911506641656,0.41080652293749154,0.707105719237435,0.7116279069767442,0.7026406429391504,0.7102857142857143,0.4977142857142857,0.49142857142857144,612,248,259,631,0.7970033193279835,0.8042159901464062
tabicl,0.2,9,transitive,A03,1,none,none,1,500,250,1750,0.3387967610033229,0.15360843599773943,0.7257336343115124,0.7136514983351832,0.7382319173363949,0.7222857142857143,0.4977142857142857,0.5148571428571429,643,258,228,621,0.7933538433740627,0.7934023764088458
tabpfn,0.1,0,transitive,A03,1,none,none,1,250,250,2000,0.1510597059968859,0.4119541480904445,0.6455445544554456,0.6423645320197044,0.6487562189054726,0.642,0.5025,0.5075,652,363,353,632,0.64694747964486,0.6734343358583964
tabicl,0.1,0,transitive,A03,1,none,none,1,250,250,2000,0.336883099982515,0.14700707199517637,0.6699950074887668,0.6723446893787575,0.6676616915422886,0.6695,0.5025,0.499,671,327,334,668,0.7175083847841223,0.7182619565489138
