model,split_mode,train_fraction,run_idx,relation,relation_id,matrix_id,wave,reflexivity,symmetry,transitive,entity_count,anchor_entity_count,query_entity_count,transfer_matrix_count,transfer_train_rows,heldout_support_rows,support_pool_rows,evaluation_pool_rows,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.6114920780528337,1.34098799189087,0.6133828996282528,0.5288461538461539,0.7300884955752213,0.5377777777777778,0.5022222222222222,0.6933333333333334,165,147,61,77,0.5060402302514175,0.5192300094816688
tabpfn,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2062240110244602,2.412561060045846,0.46265060240963857,0.4824120603015075,0.4444444444444444,0.5044444444444445,0.48,0.44222222222222224,96,103,120,131,0.48659976978260533,0.47905785058562833
tabicl,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4058825389947742,1.608667113003321,0.6181229773462783,0.47512437810945274,0.8842592592592593,0.47555555555555556,0.48,0.8933333333333333,191,211,25,23,0.4751968214855549,0.49511316872427985
tabpfn,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1888111479347572,2.4331178340362385,0.2491349480968858,0.5217391304347826,0.16363636363636364,0.5177777777777778,0.4888888888888889,0.15333333333333332,36,33,184,197,0.5071573839118276,0.5204347826086956
tabicl,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.45501249108929187,1.5852833050303161,0.5714285714285714,0.4918032786885246,0.6818181818181818,0.5,0.4888888888888889,0.6777777777777778,150,155,70,75,0.5099991877234975,0.5116403162055336
tabpfn,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2124530780129135,2.405601542093791,0.6576980568011959,0.49107142857142855,0.995475113122172,0.4911111111111111,0.4911111111111111,0.9955555555555555,220,228,1,1,0.4881010193662912,0.492175304787686
tabicl,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.46230534301139414,1.5708417709684,0.6231647634584013,0.4872448979591837,0.8642533936651584,0.4866666666666667,0.4911111111111111,0.8711111111111111,191,201,30,28,0.4529281018037175,0.4532988203679188
tabpfn,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2025169569533318,2.425705346977338,0.6239168110918544,0.5187319884726225,0.782608695652174,0.5177777777777778,0.5111111111111111,0.7711111111111111,180,167,50,53,0.5230383614214973,0.5158893280632411
tabicl,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.40010661201085895,1.5639084490248933,0.6308943089430894,0.5038961038961038,0.8434782608695652,0.4955555555555556,0.5111111111111111,0.8555555555555555,194,191,36,29,0.518707370603033,0.5037055335968379
tabpfn,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2022892700042576,2.4176732399500906,0.6696562032884903,0.510250569476082,0.9739130434782609,0.5088888888888888,0.5111111111111111,0.9755555555555555,224,215,6,5,0.48788750902877087,0.45844861660079045
